Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FED. DE EDUC., CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
30004012074P8;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
31010016020P4;EDUCAÇÃO PROFISSIONAL EM SAÚDE;FUNDACAO OSWALDO CRUZ (FIOCRUZ);INTERDISCIPLINAR                                  ;SOCIAIS E HUMANIDADES;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
33005010002P5;EDUCAÇÃO (PSICOLOGIA DA EDUCAÇÃO);PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;EDUCAÇÃO                                          ;EDUCAÇÃO;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33004030083P0;EDUCAÇÃO SEXUAL;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO ( ARARAQUARA );EDUCAÇÃO                                          ;EDUCAÇÃO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;4;-
32020015003P7;EDUCAÇÃO TECNOLÓGICA;CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS;EDUCAÇÃO                                          ;EDUCAÇÃO;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
32048017002P5;EDUCAÇÃO TECNOLÓGICA;INSTITUTO FED. DE EDUC., CIÊNC. E TECN. DO TRIÂNGULO MINEIRO;EDUCAÇÃO                                          ;EDUCAÇÃO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
40001016080P7;Educação: Teoria e Prática de Ensino;UNIVERSIDADE FEDERAL DO PARANÁ;EDUCAÇÃO                                          ;EDUCAÇÃO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;4;-
23001011172P0;EDUCAÇÃO, TRABALHO E INOVAÇÃO EM MEDICINA;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;ENSINO;ENSINO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
51001012035P2;EFICIÊNCIA ENERGÉTICA E SUSTENTABILIDADE;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;ENGENHARIAS I                                     ;ENGENHARIA CIVIL;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
33002010240P0;Empreendedorismo;UNIVERSIDADE DE SÃO PAULO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;4;-
33002010062P5;ENDOCRINOLOGIA;UNIVERSIDADE DE SÃO PAULO;MEDICINA I                                        ;ENDOCRINOLOGIA;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33002010149P3;ENERGIA;UNIVERSIDADE DE SÃO PAULO;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;ACADÊMICO;6;6;-;-
33144010005P2;ENERGIA;UNIVERSIDADE FEDERAL DO ABC;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
30001013047P1;ENERGIA;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
40043010012P1;ENERGIA & SUSTENTABILIDADE;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;ACADÊMICO;A;A;-;-
28001010053P9;ENERGIA E AMBIENTE;UNIVERSIDADE FEDERAL DA BAHIA;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;ACADÊMICO;-;4;-;-
22011013006P2;ENERGIA E AMBIENTE;UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA;ENGENHARIAS I                                     ;ENGENHARIA SANITÁRIA;EM FUNCIONAMENTO;ACADÊMICO;A;-;-;-
20001010023P7;Energia e Ambiente;UNIVERSIDADE FEDERAL DO MARANHÃO;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
41001010159P9;ENERGIA E SUSTENTABILIDADE;UNIVERSIDADE FEDERAL DE SANTA CATARINA;ENGENHARIAS III                                   ;ENGENHARIA MECÂNICA;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
23001011068P9;Energia Elétrica;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;ENGENHARIAS IV                                    ;ENGENHARIA ELÉTRICA;EM FUNCIONAMENTO;PROFISSIONAL;-;-;3;-
31163009001P0;ENERGIA INTELIGENTE;INSTITUTO GNARUS;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;PROFISSIONAL;-;-;A;-
24001015072P9;Energias Renováveis;UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA );ENGENHARIAS III                                   ;TERMODINÂMICA;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
22008012005P9;Energias Renováveis;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;INTERDISCIPLINAR                                  ;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;ACADÊMICO;3;-;-;-
22001018021P0;ENFERMAGEM;UNIVERSIDADE FEDERAL DO CEARÁ;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;6;6;-;-
23001011029P3;ENFERMAGEM;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
24001015016P1;ENFERMAGEM;UNIVERSIDADE FEDERAL DA PARAÍBA ( JOÃO PESSOA );ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
31001017060P0;ENFERMAGEM;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;6;6;-;-
31003010055P3;ENFERMAGEM;UNIVERSIDADE FEDERAL FLUMINENSE;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;PROFISSIONAL;-;-;4;-
31004016026P6;ENFERMAGEM;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
31021018001P8;ENFERMAGEM;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;-;-;-
32001010046P0;ENFERMAGEM;UNIVERSIDADE FEDERAL DE MINAS GERAIS;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33002010083P2;ENFERMAGEM;UNIVERSIDADE DE SÃO PAULO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33002010120P5;ENFERMAGEM;UNIVERSIDADE DE SÃO PAULO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;-;6;-;-
33003017072P7;ENFERMAGEM;UNIVERSIDADE ESTADUAL DE CAMPINAS;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33009015035P2;ENFERMAGEM;UNIVERSIDADE FEDERAL DE SÃO PAULO;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
33117012002P3;ENFERMAGEM;UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;4;4;-;-
40001016045P7;ENFERMAGEM;UNIVERSIDADE FEDERAL DO PARANÁ;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
40004015024P9;ENFERMAGEM;UNIVERSIDADE ESTADUAL DE MARINGÁ;ENFERMAGEM                                        ;ENFERMAGEM;EM FUNCIONAMENTO;ACADÊMICO;5;5;-;-
