Código;Programa;Instituição de Ensino;Área de Avaliação;Área Básica;Situação;Modalidade;ME;DO;MP;DP
40002012043P0;Odontologia;UNIVERSIDADE ESTADUAL DE LONDRINA;ODONTOLOGIA                                       ;ODONTOLOGIA;EM DESATIVACAO;ACADÊMICO;2;-;-;-
28003012005P3;PLANEJAMENTO AMBIENTAL;UNIVERSIDADE CATÓLICA DO SALVADOR;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ;PLANEJAMENTO URBANO E REGIONAL;EM DESATIVACAO;PROFISSIONAL;-;-;3;-
40022013008P4;PMPA - PROFISSIONAL EM ADMINISTRAÇÃO;UNIVERSIDADE POSITIVO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM DESATIVACAO;PROFISSIONAL;-;-;A;-
41016017002P2;Políticas Sociais e Dinâmicas Regionais;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA       ;PLANEJAMENTO URBANO E REGIONAL;EM DESATIVACAO;ACADÊMICO;4;-;-;-
42018013003P4;Processos de Pesquisa e Inovação em Saúde;FUNDAÇÃO UNIVERSITÁRIA DE CARDIOLOGIA;MEDICINA I                                        ;CARDIOLOGIA;EM DESATIVACAO;PROFISSIONAL;-;-;4;-
15002012009P6;PRODUÇÃO ANIMAL NA AMAZÔNIA;UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA;ZOOTECNIA / RECURSOS PESQUEIROS                   ;ZOOTECNIA;EM DESATIVACAO;ACADÊMICO;3;-;-;-
21001014079P5;PSICOLOGIA;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ;PSICOLOGIA                                        ;PSICOLOGIA;EM DESATIVACAO;ACADÊMICO;3;-;-;-
52001016111P3;QUÍMICA;UNIVERSIDADE FEDERAL DE GOIÁS;QUÍMICA                                           ;QUÍMICA;EM DESATIVACAO;ACADÊMICO;A;-;-;-
52001016050P4;QUÍMICA - CAMPUS CATALÃO;UNIVERSIDADE FEDERAL DE GOIÁS;QUÍMICA                                           ;QUÍMICA;EM DESATIVACAO;ACADÊMICO;3;-;-;-
33107017004P4;Reabilitação do Equilíbrio Corporal e Inclusão Social;UNIVERSIDADE ANHANGUERA DE SÃO PAULO;INTERDISCIPLINAR                                  ;SAÚDE E BIOLÓGICAS;EM DESATIVACAO;PROFISSIONAL;-;-;2;-
